Loc,Mfg,item,description,ext_desc,avail_o/h ,Comm_O/H,RANK,AISLE_ZONEBIN,vendor_id,plu_number,product_description,case_pack_size,size_desc,tax_flag, retail_price ,sub_department_number,sub_category_number,brand_identity,_merge
,,1E+13,,,,,,,PGC,3077203366,ALWAYS MAXI PADS SZ 1 REG 28CT,12,28CT,0,23.5,180,180010,ALWAYS,right_only
,,1E+13,,,,,,,PGC,3700090813,ALWAYS INFINITY F/FOAM SZ522CT,6,SIZE5/22,0,31.55,180,180010,ALWAYS,right_only
,,1E+13,,,,,,,PGC,3700034966,ALWAY THIN REG 12/10 SZ1,12,14CT,0,12.15,180,180010,ALWAYS,right_only
,,1E+13,,,,,,,PGC,3700017902,ALWAY MAX XHVY O/NIGHT W/W20CT,6,20CT,0,26.4,180,180010,ALWAYS,right_only
,,1E+13,,,,,,,PGC,3700011714,ALW INFINITY SZ2 HVY FLOW 16CT,12,16CT,0,21,180,180010,ALWAYS,right_only
,,1E+14,,,,,,,PGC,3077210017,DOWNY LIQ APRIL FRESH 1.97L,6,1.97L,1,43.15,370,370001,DOWNY,right_only
,,1.03E+13,,,,,,,PGC,32390000361,VICKS VAPORUB 50ML,36,50ML,0,21.4,360,360003,VICKS,right_only
,,10-81019,,,,,,,COR,30008690316,SMA GOLD 900G,6,900G,0,74.52,160,160002,SMA GOLD ,right_only
,,10-81020,,,,,,,COR,30008081944,NURSOY F/BIRTH ONWARD 400G,12,400G,0,29.2,160,160002,NURSOY,right_only
,,100,,,,,,,OS,9175200100,O/S MUFFIN WILD BLUEBERRY 113G,24,113G,1,5.4,530,530003,OTIS SPUNKMEYER,right_only
,,100-0003-25,,,,,,,FBA,64974786456,CURVES U/THIN W/WINGS 10+2,30,10+2,,5.55,180,180010,CURVES,right_only
,,100-0003-27,,,,,,,BBD,64974786172,CURVES O/NIGHT ULT THIN W/W10S,1,10CT,0,7.05,180,180010,CURVES,right_only
,,100-0003-27,,,,,,,FBA,64974786505,CURVES U/THIN O/NIGHT 10 +2,1,10+2,,7.05,180,180010,CURVE,right_only
,,100-0003-30,,,,,,,BBD,64974786174,CURVES ULT THIN W/WINGS 10CT,30,10CT,0,5.55,180,180010,CURVES,right_only
,,100-0003-32,,,,,,,BBD,64974786156,CURVES REG MAXI W/W SILK 10PD,30,10CT,0,5.55,180,180010,CURVES,right_only
,,100-0003-45,,,,,,,BBD,64974786459,CURVES OVERNIGHT MAXI W/W 12PD,1,10CT,0,6.9,180,180010,CURVES,right_only
,,100-0003-45,,,,,,,BBD,64974786917,CURVES O/NIGHT MAXI W/W COT10P,30,10CT,0,6.9,180,180010,CURVES,right_only
,,100-0003-46,,,,,,,FBA,64974786457,CURVES REG MAXI W/W COTTON10PD,30,10CT,0,6,180,180010,CURVES,right_only
,,100-0003-46,,,,,,,FBA,64974786173,CURVES REG MAXI W/W COTTON10PD,30,10CT,0,6,180,180010,CURVES,right_only
,,100-0003-49,,,,,,,FBA,64974786171,CURVES 24 PANTY LINERS,30,24CT,1,5.55,180,180010,CURVES,right_only
,,100-0003-60,,,,,,,FBA,64974786419,CURVES 30 LONG LINERS,30,30CT,1,7.55,180,180010,CURVES,right_only
,,100-0004-56,,,,,,,GMA,70942195009,ICOOL POM PASSION 500ML,24,500ML,1,3.4,190,190002,ICOOL,right_only
,,100-0004-59,,,,,,,GMA,70942195000,ICOOL STRAWBERRY BANANA 500ML,24,500ML,1,3.4,190,190002,ICOOL,right_only
,,100-0004-62,,,,,,,BBD,70942195004,ICOOL FRUIT PUNCH DRINK 500ML,24,500ML,1,3.4,190,190002,ICOOL,right_only
,,100-0004-64,,,,,,,GMA,70942195003,ICOOL MELON BERRY DRINK 500ML,24,500ML,1,3.4,190,190002,ICOOL,right_only
,,100-0004-68,,,,,,,FBA,70942195005,ICOOL TANGERINE DRINK 500ML,24,500ML,1,3.4,190,190002,ICOOL,right_only
,,100-0004-69,,,,,,,BBD,70942195007,ICOOL GUAVA PINE DRINK 500ML,24,500ML,1,3.4,190,190002,ICOOL,right_only
,,100-0004-70,,,,,,,GMA,70942195008,ICOOL GRAPE DRINK 500ML,24,500ML,1,3.4,190,190002,ICOOL,right_only
,,100-0004-76,,,,,,,GMA,70942175001,ICOOL CRANBERRY DR 500ML,24,500ML,1,3.4,190,190002,ICOOL,right_only
,,100-0005-00,,,,,,,FBA,64974781105,LASCO CHERRY SYRUP  35 FL OZ,1,1 LT,1,9.95,190,190004,LASCO,right_only
,,100-0005-01,,,,,,,FBA,64974781101,LASCO STRAWBERRY SYRUP  35 OZ,1,1 LT,1,9.95,190,190004,LASCO,right_only
,,100-0005-02,,,,,,,FBA,64974781119,LASCO FRUIT PUNCH SYRUP  35 OZ,1,1 LT,1,9.95,190,190004,LASCO,right_only
,,100-0005-04,,,,,,,FBA,64974781109,LASCO KOLA CHAMPA SYRUP  35 OZ,1,1 LT,1,9.95,190,190004,LASCO,right_only
,,100-0005-06,,,,,,,FBA,64974781108,LASCO KOLA CHAMPAGNE SYRP750ML,12,750ML,1,8.1,190,190004,LASCO,right_only
,,100-0006-61,,,,,,,BBD,64974786302,LASCO SOAP COCOA BUTTER 125G,30,125G,1,3.65,180,180004,LASCO,right_only
,,100-0006-62,,,,,,,BBD,64974786299,LASCO SOAP W/OLIVE OIL 125G,30,125G,1,3.65,180,180004,LASCO,right_only
,,100-0006-63,,,,,,,FBA,64974786160,LASCO CARBOLIC SOAP 125G,30,125G,1,3.65,180,180004,LASCO,right_only
,,100-0006-64,,,,,,,FBA,64974786301,LASCO BEAUTY SOAP W/ALOE 110G,30,110G,1,3.65,180,180004,LASCO,right_only
,,100-0006-69,,,,,,,FBA,64974786300,LASCO ANTIBAC DEOD SOAP 110G,30,110G,1,3.65,190,190005,LASCO,right_only
,,100-0008-75,,,,,,,FBA,64974786354,LASCO CHOCO MIX W/MMALLOWS 28G,160,28 G,1,1.4,270,270006,LASCO,right_only
,,100-0008-76,,,,,,,BBD,64974786321,LASCO CHOCO MIX FRENCH VAN 28G,20,28G,1,1.4,270,270006,LASCO,right_only
,,100-0008-77,,,,,,,BBD,64974786333,LASCO CHOCOLATE CARAMEL MIX28G,20,28G,1,1.4,270,270006,LASCO,right_only
,,100-0008-78,,,,,,,BBD,64974786180,LASCO CHOCO MIX W/NUTMEG 28G,20,28G,1,1.4,270,270006,LASCO,right_only
,,100-0008-79,,,,,,,BBD,64974786391,LASCO CHOCO MIX  W/MINT 28G,20,28G,1,1.4,270,270006,LASCO,right_only
,,100-0008-90,,,,,,,BBD,70942122389,LASCO D/MIX CHERRY BERRY 120G,24,120G,1,5.55,190,190005,LASCO,right_only
